Word	TAG
Subordinated	O
Loan	O
Agreement	O
-	O
Silicium	I-ORG
de	I-ORG
Provence	I-ORG
SAS	I-ORG
and	O
Evergreen	I-ORG
Solar	I-ORG
Inc	I-ORG
.	O
7	O
-	O
December	O
2007	O
[	O
HERBERT	I-PER
SMITH	I-PER
LOGO	O
]	O
................................	O
2007	O
SILICIUM	I-ORG
DE	I-ORG
PROVENCE	I-ORG
SAS	I-ORG
and	O
EVERGREEN	I-ORG
SOLAR	I-ORG
,	O
INC	O
.	O
SUBORDINATED	O
LOAN	O
AGREEMENT	O
HERBERT	I-PER
SMITH	I-PER
LLP	O
Page	O
1	O
of	O
12	O
7	O
-	O
December	O
2007	O
TABLE	O
OF	O
CONTENTS	O
Clause	O
Headings	O
Page	O
1	O
.	O
INTERPRETATION	O
3	O
2	O
.	O
LOAN	O
4	O
3	O
.	O
INTEREST	O
AND	O
REDEMPTION	O
4	O
4	O
.	O
EARLY	O
REDEMPTIONS	O
5	O
5	O
.	O
REPRESENTATIONS	O
5	O
6	O
.	O
UNDERTAKINGS	O
5	O
7	O
.	O
SUBORDINATION	O
6	O
8	O
.	O
COSTS	O
6	O
9	O
.	O
PARTIAL	O
PAYMENTS	O
6	O
10	O
.	O
ASSIGNMENT	O
7	O
11	O
.	O
WHOLE	O
AGREEMENT	O
8	O
12	O
.	O
VARIATION	O
AND	O
WAIVER	O
8	O
13	O
.	O
SEVERANCE	O
8	O
14	O
.	O
NOTICES	O
8	O
15	O
.	O
CONFIDENTIALITY	O
9	O
16	O
.	O
APPLICABLE	O
LAW	O
AND	O
LANGUAGE	O
10	O
17	O
.	O
DISPUTES	O
10	O
Page	O
2	O
of	O
12	O
7	O
-	O
December	O
2007	O
SUBORDINATED	O
LOAN	O
AGREEMENT	O
THIS	O
LOAN	O
AGREEMENT	O
is	O
made	O
on	O
7th	O
December	O
,	O
2007	O
BETWEEN	O
:	O
(	O
1	O
)	O
SILICIUM	I-ORG
DE	I-ORG
PROVENCE	I-ORG
S	O
.	O
A	O
.	O
S	O
.,	O
a	O
private	O
company	O
with	O
limited	O
liability	O
,	O
incorporated	O
under	O
the	O
laws	O
of	O
France	I-LOC
,	O
whose	O
registered	O
office	O
is	O
situated	O
at	O
Usine	I-LOC
de	I-LOC
Saint	I-LOC
Auban	I-LOC
,	O
04	I-LOC
600	I-LOC
Saint	I-LOC
Auban	I-LOC
,	O
France	I-LOC
,	O
represented	O
by	O
Mr	O
.	O
Frank	I-PER
Wouters	I-PER
,	O
hereinafter	O
referred	O
to	O
as	O
the	O
" NNP - O
Borrower NNP - I-PER
,"	O
and	O
(	O
2	O
)	O
EVERGREEN	I-ORG
SOLAR	I-ORG
,	I-ORG
INC	I-ORG
.,	O
a	O
company	O
incorporated	O
in	O
Delaware	O
,	O
U	O
.	O
S	O
.	O
A	O
.,	O
with	O
registered	O
number	O
2426798	O
,	O
whose	O
registered	O
office	O
is	O
situated	O
at	O
138	I-LOC
Bartlett	I-LOC
Street	I-LOC
,	O
Marlboro	I-LOC
,	O
Massachusetts	I-LOC
01752	I-LOC
,	O
U	O
.	O
S	O
.	O
A	O
.	O
represented	O
by	O
Richard	I-PER
Chleboski	I-PER
,	O
hereinafter	O
referred	O
to	O
as	O
the	O
" NNP - O
Lender NNP - I-PER
,"	O
Hereinafter	O
referred	O
to	O
severally	O
each	O
as	O
a	O
" NN - O
Party NNP - O
"	O
and	O
jointly	O
as	O
the	O
" NNP - O
Parties NNP - O
."	O
WHEREAS	O
:	O
(	O
A	O
)	O
The	O
Borrower	I-PER
intends	O
to	O
develop	O
a	O
plant	O
in	O
France	I-LOC
for	O
the	O
production	O
of	O
solar	O
grade	O
silicon	O
.	O
(	O
B	O
)	O
Lender	I-PER
and	O
Borrower	I-PER
have	O
entered	O
into	O
an	O
agreement	O
for	O
the	O
sale	O
and	O
purchase	O
of	O
solar	O
grade	O
silicon	O
on	O
the	O
same	O
date	O
hereof	O
(	O
the	O
" NNP - O
Silicon NNP - O
S NNP - O
& CC - O
P NNP - O
Agreement NNP - O
)."	O
(	O
C	O
)	O
Lender	I-PER
and	O
Borrower	I-PER
have	O
agreed	O
that	O
in	O
consideration	O
for	O
the	O
Borrower	I-PER
entering	O
into	O
the	O
Silicon	O
S	O
&	O
P	O
Agreement	O
with	O
the	O
Lender	I-PER
,	O
the	O
Lender	I-PER
shall	O
make	O
available	O
to	O
the	O
Borrower	I-PER
,	O
by	O
way	O
of	O
a	O
subordinated	O
loan	O
,	O
an	O
amount	O
of	O
thirty	O
million	O
Euros	O
(	O
EUR	O
30	O
,	O
000	O
,	O
000	O
)	O
(	O
the	O
" NNP - O
Loan NNP - O
)."	O
(	O
D	O
